,Nom,Né le
5079,"Henri, Ernest, Edouard, Marie Mallez",13 juin 1892
5080,"Octave, Joseph Lucas",25 mai 1892
5081,Pierre Dadot,20 mai 1892
5082,"Paul, Raymond, Marie Bastid",17 mai 1892
5083,Camille Planche,5 mai 1892
5084,"Jean, Auguste Montigny",19 avril 1892
5085,"Marcel, André Régis",14 avril 1892
5086,Henri Nominé,8 avril 1892
5087,"Louis, Edouard Brodel",31 mars 1892
5088,"René, Valentin Burtin",28 mars 1892
5089,"Sylvain, Henri Blanchet",26 mars 1892
5090,Joseph Garavel,4 mars 1892
5091,Pierre Hénault,25 février 1892
5092,"Emile, Jean, Marie Perrein",5 février 1892
5093,"Marc, Léandre, Auguste Lengrand",3 février 1892
5094,Joseph Gullung,1er février 1892
5095,Emile Périn,24 janvier 1892
5096,Marcel Dassault,22 janvier 1892
5097,Marcel-Edmond Naegelen,17 janvier 1892
5098,Camille Ferrand,10 janvier 1892
5099,"Paul, Charles Vaillant-Couturier",8 janvier 1892
5100,"Claude, Marie Bruyas",4 janvier 1892
5101,Lucien Besset,4 janvier 1892
5102,Antoine Pinay,30 décembre 1891
5103,Xavier Vallat,23 décembre 1891
5104,Charles Hartmann,26 novembre 1891
5105,Eugénie Éboué-Tell,23 novembre 1891
5106,René Caillaud,10 novembre 1891
5107,Paul Perrin,9 novembre 1891
5108,"Charles, Georges, Alfred Baudry",1er novembre 1891
5109,"Pierre, Joseph Couinaud",28 octobre 1891
5110,"Marcel, Emile, Auguste Boucher",23 octobre 1891
5111,Henri Torrès,17 octobre 1891
5112,Pétrus Faure,11 octobre 1891
5113,Léon Sagnol,5 octobre 1891
5114,"Henri, Jules, Lucien Becquart",1er octobre 1891
5115,"René, Victor Manaut",23 septembre 1891
5116,Pierre Valude,21 septembre 1891
5117,Amadou Lamine-Gueye,20 septembre 1891
5118,Maurice Satineau,18 septembre 1891
5119,Alexandre-Etienne Piquemal,12 septembre 1891
5120,François Reille-Soult-Dalmatie,11 septembre 1891
5121,Hubert Pradon-Vallancy,7 septembre 1891
5122,"Armand, Camille Dupuis",16 août 1891
5123,Philippe Olmi,4 août 1891
5124,Pierre Dumas,1er août 1891
5125,Eloi Blériot,29 juillet 1891
5126,"André, Jean-Baptiste Commentry",25 juillet 1891
5127,"Joseph, Jules, Adolphe Boüessé",16 juillet 1891
5128,Henry Orrion,14 juillet 1891
5129,Henri Maupoil,11 juillet 1891
5130,André Isoré,14 juin 1891
5131,Fernand Duchâteau,9 juin 1891
5132,"Marcel, Ernest, Jean, Marie Arnould",8 juin 1891
5133,"Auguste, Marie Reynaud",23 mai 1891
5134,Louis Richier,30 avril 1891
5135,Robert Mauger,27 avril 1891
5136,"Albert, Marcel Rivière",24 avril 1891
5137,"Albert, Marcel Yvon",24 avril 1891
5138,Marie Tony-Révillon,24 avril 1891
5139,"Guy, Henri, Victor Menant",27 mars 1891
5140,"Honoré, Mathurin, Marie Michard",13 mars 1891
5141,Horace de Carbuccia,1er mars 1891
5142,"Gabriel, Emile Delattre",23 février 1891
5143,Léonce Salles,22 février 1891
5144,"René, Amédée, Marcel, Joseph Besse",20 février 1891
5145,Jean-Louis Rolland,15 février 1891
5146,Télesphore Caudron,9 février 1891
5147,Fernand Girault,8 février 1891
5148,André Daher,1er février 1891
5149,"Jean, Marie, Joseph, Charles Desbons",1er février 1891
5150,Maurice Voirin,28 janvier 1891
5151,Raoul-André Parpais,27 janvier 1891
5152,Raphaël Trémouilhe,27 janvier 1891
5153,Louis Chevallier,27 janvier 1891
5154,André Lorgeré,26 janvier 1891
5155,"François, Marie Auffray",18 janvier 1891
5156,"Maxence, Bernard, Pierre, Emile Bibié",11 janvier 1891
5157,François Mercier,5 janvier 1891
5158,Charles Elsaesser,4 janvier 1891
5159,"Louis, Winocq, Achille, Eugène Christiaens",20 décembre 1890
5160,Paul Baratgin,17 décembre 1890
5161,Jean Médecin,2 décembre 1890
5162,Amédée Mercier,2 décembre 1890
5163,Pierre Detoeuf,30 novembre 1890
5164,Claude-Joseph Gignoux,29 novembre 1890
5165,Henri Détailleur,22 novembre 1890
5166,"Angèle, Emile, Lucien Polimann",19 novembre 1890
5167,Auguste Albertini,15 novembre 1890
5168,Abel Guidet,6 novembre 1890
5169,"Marius, Casimir Dubois dit Marius-Dubois",10 octobre 1890
5170,Achille Fould,19 septembre 1890
5171,René Enjalbert,8 septembre 1890
5172,Raoul Francou,16 août 1890
5173,"Emmanuel, Jacques, Marie Chaumié",15 août 1890
5174,Emile Poirault,10 août 1890
5175,"Joseph, Benjamin Chacun",8 août 1890
5176,Emile Faure,21 juillet 1890
5177,Jean Raymond-Laurent,20 juillet 1890
5178,Pierre Lebon,17 juillet 1890
5179,Pierre Charles,16 juillet 1890
5180,"Emile, Georges Taudière",14 juillet 1890
5181,"Jean, Alfred, Eugène Coache",24 juin 1890
5182,Arthur Richards,19 juin 1890
5183,Jean Gilliot,6 juin 1890
5184,Maurice Brillouet,6 juin 1890
5185,Roger Salengro,30 mai 1890
5186,Joseph Allauzen,29 mai 1890
5187,Julien Verniers,29 mai 1890
5188,"Lucien, Jean-Baptiste Bossoutrot",16 mai 1890
5189,Jean Neyret,13 mai 1890
5190,Robert Jardillier,31 mars 1890
5191,Jean Jadé,29 mars 1890
5192,"Gaston, Paul, Marie About",17 mars 1890
5193,Yvan Pélissier,15 mars 1890
5194,Antonin Gros,4 mars 1890
5195,Claude Guyot,28 février 1890
5196,Victor Doeblé,24 février 1890
5197,"Gaston, Henry dit Henry-Haye",6 février 1890
5198,André de Fels,27 janvier 1890
5199,"Florimond, Paul, Denis, Louis, Joseph Bonte",22 janvier 1890
5200,"André, Victor Ray",12 janvier 1890
5201,"Amand, Georges Duforest",4 janvier 1890
5202,Paul Devinat,2 janvier 1890
5203,"René, Jean-Baptiste Rucklin",31 décembre 1889
5204,Paul Richard,28 décembre 1889
5205,"Lucien, Joseph Hussel",27 décembre 1889
5206,Jacques Gavini,25 décembre 1889
5207,Joseph dit Virgile Barel,17 décembre 1889
5208,Marc Dupuy,15 décembre 1889
5209,Jean de Geoffre de Chabrignac,8 novembre 1889
5210,"Pierre, Denis Gamel",31 octobre 1889
5211,Henri Calloc'H de Kérillis,27 octobre 1889
5212,Joseph Laniel,12 octobre 1889
5213,Pierre Delcourt,10 octobre 1889
5214,Léopold Bissol,8 octobre 1889
5215,"Auguste, Marie Billiémaz",22 septembre 1889
5216,Raoul Naudin,2 septembre 1889
5217,"Barthelémy, Marius Montagnon",19 août 1889
5218,"Pierre, Jean, Gustave Baudouin-Bugnet",6 août 1889
5219,"Michel, Charles Carlini",31 juillet 1889
5220,Fernand Wiedemann-Goiran,26 juillet 1889
5221,"Georges, Etienne Bonnet",23 juillet 1889
5222,Marie Texier-Lahoulle,22 juillet 1889
5223,Joseph Basset,21 juillet 1889
5224,Henri Boulay,14 juillet 1889
5225,"Léon, Henri Lierman",13 juillet 1889
5226,Jean-Paul Filhoud-Lavergne,8 juillet 1889
5227,"Louis, Victor Prot",28 juin 1889
5228,Jean Piot,27 juin 1889
5229,"Louis, Marie, Adrien, Philippe Couhé",24 juin 1889
5230,"André, Marie, Joseph, François Bas",19 juin 1889
5231,Michel Zunino,12 juin 1889
5232,Maurice Deudon,10 juin 1889
5233,Jean Perrot,7 juin 1889
5234,François Roux,6 juin 1889
5235,"Léon, Paul Debouverie",3 juin 1889
5236,Antoine de Gramond-Lesparre,29 mai 1889
5237,Jean Fernand-Laurent,15 mai 1889
5238,"Simon, Pierre Sabiani",14 mai 1889
5239,Joseph Serda,7 mai 1889
5240,"Pierre, Etienne Flandin",12 avril 1889
5241,Richard Prentout,6 avril 1889
5242,Alfred Duault,26 mars 1889
5243,Marcel Poimboeuf,16 mars 1889
5244,Robert Philippot,13 mars 1889
5245,Roland Forissier,6 mars 1889
5246,Ludovic-Oscar Frossard,5 mars 1889
5247,Fernand Robbe,28 février 1889
5248,"Jean, Edmond Roumajon",28 février 1889
5249,Jean Calvet,25 février 1889
5250,Ferdinand Roques,21 février 1889
5251,Daoud Ben Saïd dit Mohand Achour,20 février 1889
5252,Jean Bousgarbiès,19 février 1889
5253,Paul Goussu,11 février 1889
5254,"Camille, Constant Catalan",10 février 1889
5255,"Moïse, Elie, Charles Majurel",9 février 1889
5256,Yves Le Gac,21 janvier 1889
5257,Jean Odin,20 janvier 1889
5258,Philippe Henriot,7 janvier 1889
5259,René Plard,23 décembre 1888
5260,Augustin Maurellet,21 décembre 1888
5261,René Dommange,18 décembre 1888
5262,"Jules, Pierre, Mathieu, Auguste Boyer",15 décembre 1888
5263,"Henri, Pierre, Marie Avril",4 décembre 1888
5264,Ernest Grimaud,1er décembre 1888
5265,"Armand, Joseph Brault",25 octobre 1888
5266,Paul Hutin-Desgrées,21 octobre 1888
5267,François Saudubray,20 octobre 1888
5268,Gaston Vidal,18 octobre 1888
5269,"Gabriel, Paul Lafaye",14 octobre 1888
5270,"Albert, Marc Chichery",12 octobre 1888
5271,Albert Perrin,8 octobre 1888
5272,"Clovis, Henri, Auguste, Albert Constant",7 octobre 1888
5273,"Emile, Jean-Baptiste Bocquet",6 octobre 1888
5274,"Pierre, Adolphe, Juste Cathala",22 septembre 1888
5275,Lucien Lamoureux,16 septembre 1888
5276,Etienne Desgeorges,24 août 1888
5277,Emile Malon,16 août 1888
5278,"Louis, Alfred, Désiré Lebel",15 août 1888
5279,Guy de Montjou,5 août 1888
5280,Marx Dormoy,1er août 1888
5281,"Jean, Adrien, Edouard Moreau",31 juillet 1888
5282,"Clovis, Henri, Dominique Macouin",25 juillet 1888
5283,"Pierre, Marie, Auguste Mazaud",19 juillet 1888
5284,"Henri, Jean-Claude, Eugène Malet",15 juillet 1888
5285,Vincent Rotinat,10 juillet 1888
5286,Jean Hérard,6 juillet 1888
5287,Victor Balanant,3 juillet 1888
5288,Guillaume des Rotours,1er juillet 1888
5289,Paul Guilbert,28 juin 1888
5290,"Pierre, Vincent, Emile Béranger",26 juin 1888
5291,Arthur Musmeaux,24 juin 1888
5292,Jacques de Chammard,1er juin 1888
5293,"André, Pierre Cointreau",28 mai 1888
5294,Pierre Vaillandet,13 mai 1888
5295,Auguste Chambonnet,6 mai 1888
5296,Georges Molinatti,24 avril 1888
5297,Georges Juliard,8 avril 1888
5298,Raymond Moussu,31 mars 1888
5299,"Léon, Philippe, Jules, Arthur Noël",28 mars 1888
5300,Paul Ramadier,17 mars 1888
5301,Etienne Le Sassier Boisauné,11 mars 1888
5302,Pierre Forgeot,10 mars 1888
5303,Charles Frey,26 février 1888
5304,François Var,26 février 1888
5305,"Alfred, Marie, Irénée Costes",24 février 1888
5306,Marcel Leger,20 février 1888
5307,René Reille-Soult-Dalmatie,10 février 1888
5308,Maurice Kempf,26 janvier 1888
5309,Georges Marrane,20 janvier 1888
5310,Adolphe Merle,25 décembre 1887
5311,"Robert, Joseph, Marie, Eugène Bidard de La Noé",23 décembre 1887
5312,"Charles, Adrien Auffray",20 décembre 1887
5313,Etienne Weill-Raynal,9 décembre 1887
5314,Antoine Villedieu,9 décembre 1887
5315,"Ernest, Amans Pezet",6 décembre 1887
5316,"Raoul, Henri, Marie Becquet",4 décembre 1887
5317,"Clément, Léonard Chausson",25 novembre 1887
5318,"Georges, André, Alexandre André-Fribourg",20 novembre 1887
5319,Guillaume Detraves,20 novembre 1887
5320,"Victor, Antoine, Martial Bataille",12 novembre 1887
5321,"Alphonse, Jules, Isidore Thibon",7 novembre 1887
5322,"Marius, Etienne, Florent Boyer",7 novembre 1887
5323,Philippe Delabarre,6 novembre 1887
5324,"Adolphe, Léon, Gustave Aumeran",1er novembre 1887
5325,"Georges, Pierre Moutet",31 octobre 1887
5326,René Dupray de la Mahérie,30 octobre 1887
5327,"Rodolphe, Jean-Baptiste Tonnellier",29 octobre 1887
5328,René Pécherot,25 octobre 1887
5329,"Raoul, Adolphe, Elie Anglès",21 octobre 1887
5330,Georges Chaigne,9 octobre 1887
5331,François de Polignac,4 octobre 1887
5332,Ernest Laroche,4 octobre 1887
5333,Pierre Taittinger,4 octobre 1887
5334,"Alphonse, Alexandre Bouloux",30 septembre 1887
5335,"Joseph, Anne, Jean, Timothée, de Goislard de Monsabert",30 septembre 1887
5336,Charles Leclerc,29 septembre 1887
5337,Roger Perronne,27 septembre 1887
5338,Victor Desprez-Potié,26 septembre 1887
5339,Maurice Guérin,21 septembre 1887
5340,"Emile, Georges Peter",21 septembre 1887
5341,"André, Louis, Joseph Bahier",11 septembre 1887
5342,Jean-Baptiste Saget,6 septembre 1887
5343,André Jouffrault,1er septembre 1887
5344,Marcel Guerret,30 août 1887
5345,Georges Nouelle,30 août 1887
5346,Louis Guillon,25 août 1887
5347,Maurice Delabie,20 août 1887
5348,Jean dit Renaud Jean,16 août 1887
5349,"André, Louis Chabenat",8 août 1887
5350,"Pierre, Marie de Chabot",5 août 1887
5351,Michel Parès,2 août 1887
5352,"Alfred, Pierre Ratelade",30 juillet 1887
5353,Lucien Coudert,28 juillet 1887
5354,"Pierre, Hubert, Alexandre, Henri Appell",3 juillet 1887
5355,"Anatole, Jean Cluzan",19 juin 1887
5356,"Emmanuel, Jean Roy",16 juin 1887
5357,Louis Antériou,14 juin 1887
5358,André François-Poncet,13 juin 1887
5359,Michel Missoffe,9 juin 1887
5360,"Kléber, Jules, Pierre Beaugrand",14 mai 1887
5361,Albert Forcinal,11 mai 1887
5362,André Genty,30 avril 1887
5363,"Emile, Victor, Léon Brachard",29 avril 1887
5364,Pierre Joly dit Jurie-Joly,20 avril 1887
5365,Jean Leroy,31 mars 1887
5366,"Marcel, Louis, Charles Brout",23 mars 1887
5367,Joseph Féga,21 mars 1887
5368,Marcel Plaisant,8 mars 1887
5369,Louis Descubes,2 mars 1887
5370,"Camille, Louis Bénassy",25 février 1887
5371,"François, Benjamin, Pierre, Joseph Cadoret",13 février 1887
5372,Pierre Fayet,12 février 1887
5373,"Jean, Fernand Audeguil",16 janvier 1887
5374,Marcel Ferraris,28 décembre 1886
5375,Joseph Raseta,9 décembre 1886
5376,André Marty,6 novembre 1886
5377,Désiré Ferry,26 octobre 1886
5378,Léon Nicod,19 octobre 1886
5379,René Lebret,16 octobre 1886
5380,Georges Le Bail-Maignan,6 octobre 1886
5381,Maurice Palmade,4 octobre 1886
5382,Laurent Eynac,4 octobre 1886
5383,Joseph Ferrand,27 septembre 1886
5384,Gaston Martin,26 septembre 1886
5385,Maurice Foulon,16 septembre 1886
5386,Emilien Brigault,15 septembre 1886
5387,"Joseph, Marie, Augustin Cadic",5 septembre 1886
5388,"Humbert, Jean, Joseph, Frédéric Ricolfi",1er septembre 1886
5389,"Georges, Lucien, Paul, Constant Cousin",21 août 1886
5390,Louis Gélis,16 août 1886
5391,Robert Schuman,29 juin 1886
5392,Théodore Valensi,21 juin 1886
5393,Paul Simon,14 juin 1886
5394,Ernest de Framont de la Framondée,5 juin 1886
5395,André Grisoni,20 mai 1886
5396,André Escoffier,20 mai 1886
5397,Louis Pasteur-Vallery-Radot,13 mai 1886
5398,Ahmed Aït-Ali,11 mai 1886
5399,Paul Lambin,5 mai 1886
5400,Paul Tubert,4 mai 1886
5401,Jacques Fonlupt-Espéraber,30 avril 1886
5402,Charles Delesalle,15 avril 1886
5403,"François, Charles, Abel Durand-Béchet",12 avril 1886
5404,"Raymond, Albert, Ernest Bérenger",3 avril 1886
5405,"Victor, Léon, Henri Chatenay",3 avril 1886
5406,Jean-Marie Guastavino,2 avril 1886
5407,Alfred Elmiger,29 mars 1886
5408,"Maurice, Paul Vincent",26 mars 1886
5409,"Firmin, Célestin, Marie Tristan",25 mars 1886
5410,"Gabriel, Prosper Castagnet",24 mars 1886
5411,"Henri, Eugène Coutant",22 mars 1886
5412,"Pierre, Julien Burgeot",21 mars 1886
5413,Paul Sion,14 mars 1886
5414,André Mottu,1er mars 1886
5415,Edouard Richard,24 février 1886
5416,Furcie Tirolien,30 janvier 1886
5417,Gabriel Plancke,29 janvier 1886
5418,Louis Bernard,26 janvier 1886
5419,"Gaston, Louis Bonnaure",21 janvier 1886
5420,Pierre Gaurand,21 janvier 1886
5421,Henri Cazalet,11 janvier 1886
5422,Jean Félix,3 décembre 1885
5423,André Février,30 novembre 1885
5424,Fernand Mauroux,22 novembre 1885
5425,"Georges, Lucien, Désir Chauvin",16 novembre 1885
5426,"Antonin, Félix, Gabriel Brocard",14 novembre 1885
5427,Antoine Vourch,8 novembre 1885
5428,Louis Sellier,6 novembre 1885
5429,Jacques Queinnec,7 octobre 1885
5430,Louis Jouhanneau,6 octobre 1885
5431,Paul Ribeyre,4 octobre 1885
5432,"Georges, Robert, René, Léon Bret",21 septembre 1885
5433,Claude Guillon,13 septembre 1885
5434,"Paul, Dominique Massimi",1er septembre 1885
5435,Henri Jeanmot,26 août 1885
5436,Louis Sevestre,20 août 1885
5437,Emile Gellié,12 août 1885
5438,Joachim Murat,6 août 1885
5439,Emile Delmas,26 juillet 1885
5440,Raymond Salers,26 juillet 1885
5441,Pierre Perreau-Pradier,5 juillet 1885
5442,Jean Rougier,2 juillet 1885
5443,Jean Mendiondou,25 juin 1885
5444,"Maurice, Auguste Berger",7 juin 1885
5445,"Jacques, Georges, Louis Chastellain",7 juin 1885
5446,Georges Mandel,5 juin 1885
5447,"Eugène, Georges, Léopold, Sully Montel",5 juin 1885
5448,"Guillaume, Marie Ballu",27 mai 1885
5449,"Hervé, Léon, Charles de Lyrot",26 mai 1885
5450,Francisque Gay,8 mai 1885
5451,Emile Lardier,8 mai 1885
5452,"Yvon, Pierre, Stanislas Delbos",7 mai 1885
5453,Auguste Sabatier,3 mai 1885
5454,Joseph Sigrist,26 avril 1885
5455,Paul Laffont,25 avril 1885
5456,"Antoine, Georges, Hubert Cayrel",23 avril 1885
5457,"André, Marie, Alfred Barbier",3 mars 1885
5458,Ernest Beluel,21 février 1885
5459,Robert Sérot,18 février 1885
5460,Jules Baron,15 février 1885
5461,Pierre Pouchus,14 février 1885
5462,"Gilles, Marie Chateau",8 février 1885
5463,Camille Chautemps,1er février 1885
5464,Marcel Deschaseaux,16 janvier 1885
5465,"Louis, Jean, René, Gaston Poute de Puybaudet",16 janvier 1885
5466,"Marcel, Français Astier",7 janvier 1885
5467,"Jacques, Marie, Louis Poitou-Duplessy",5 janvier 1885
5468,"Henry, Edouard Cravoisier",21 décembre 1884
5469,"Jean, Paul, Gaston, Lucien Chaulin-Servinière",8 décembre 1884
5470,Auguste Jacot,3 décembre 1884
5471,Antony Joly,15 novembre 1884
5472,André Le Troquer,27 octobre 1884
5473,"Jean, Louis, Honoré de Suzannet",11 octobre 1884
5474,Adrien Marquet,6 octobre 1884
5475,"Félix, Jean Gouin",4 octobre 1884
5476,Henri Triballet,25 septembre 1884
5477,Albert Nast,24 septembre 1884
5478,Camille Reymond,8 septembre 1884
5479,"Vincent, Jules Auriol",27 août 1884
5480,"Léon, Edmond Boisseau",27 août 1884
5481,Maurice Béné,24 août 1884
5482,Paul Pantaloni,19 août 1884
5483,Paul Tapponnier,14 août 1884
5484,Auguste Pageot,22 juillet 1884
5485,Maurice Robert,11 juillet 1884
5486,Edouard Daladier,18 juin 1884
5487,"Emile, Ulysse Canda",16 juin 1884
5488,"Maurice, Léonce Camier",15 juin 1884
5489,"Adrien, Baptiste, Honoré André",29 mai 1884
5490,Sansimon Graziani,28 mai 1884
5491,"Paul, dit Charles Bertrand",26 mai 1884
5492,Daniel Boisdon,9 mai 1884
5493,Pierre Even,6 mai 1884
5494,Henri Falcoz,6 mai 1884
5495,Jean Ferracci,2 mai 1884
5496,Gaston Manent,24 avril 1884
5497,"Joseph, Hector Defos du Rau",9 avril 1884
5498,Jean Erlich,7 avril 1884
5499,Léon Piginnier,6 avril 1884
5500,Henri Queuille,31 mars 1884
5501,Henri Roulon,28 mars 1884
5502,Armand Le Douarec,24 mars 1884
5503,"Léon, Pierre Castanet",22 mars 1884
5504,Lucien Deboudt,21 mars 1884
5505,"Georges, Victorien, Félix Bruguier",16 mars 1884
5506,Jean Périnard,15 mars 1884
5507,Edouard Froment,13 mars 1884
5508,Michel Walter,5 février 1884
5509,Emile Laurens,29 janvier 1884
5510,Jean Taurines,21 janvier 1884
5511,Charles Rousseau,18 janvier 1884
5512,Albert Görge,17 janvier 1884
5513,Salomon Grumbach,6 janvier 1884
5514,Robert Bellanger,3 janvier 1884
5515,"Ernest, Jean, Marie Malric",23 décembre 1883
5516,"Charles, Marius Lambert",16 décembre 1883
5517,"Joseph, Henri Python",15 décembre 1883
5518,"Jean, Charles, Gaspard Boutton",10 décembre 1883
5519,Léon Delsart,8 décembre 1883
5520,"Henri, Claude Maître",23 novembre 1883
5521,"Claude, Edouard, Denys, Marie Cochin",17 novembre 1883
5522,Pierre Vallette-Viallard,6 novembre 1883
5523,Léon Courson,21 octobre 1883
5524,"Léon, Jean, Jacques Baréty",18 octobre 1883
5525,Auguste Béchard,16 octobre 1883
5526,Jean Ybarnégaray,16 octobre 1883
5527,"Jean, Ludovic dit René Picard-Chavagnes dit Chavagnes",10 octobre 1883
5528,Paul Loubradou,8 octobre 1883
5529,Charles Ruff dit Lussy,25 septembre 1883
5530,Lucien Midol,24 septembre 1883
5531,Georges Maire,14 septembre 1883
5532,"Albert, Jules, Marie Mauguière",8 septembre 1883
5533,Laurent Camboulives,26 août 1883
5534,"Charles, Louis Hueber",21 août 1883
5535,"Louis, Raoul, Edouard Marsais",19 août 1883
5536,Roger Lafagette,8 août 1883
5537,Elysée Frouin,5 août 1883
5538,Henri Mège,1er août 1883
5539,"Aimé, Charles Piton",25 juillet 1883
5540,"Pierre, Augustin, Nicolas Colomb",22 juillet 1883
5541,Camille Dahlet,21 juillet 1883
5542,"Charles, Antoine Dumas",21 juillet 1883
5543,"Etienne, Jean, Marcel Riché",15 juillet 1883
5544,Yves Hervé,14 juillet 1883
5545,Pierre Laval,28 juin 1883
5546,"Charles, Henri Vernier",27 juin 1883
5547,Gabriel Abbo,26 juin 1883
5548,Ahmed Mekki-Bezzeghoud,29 mai 1883
5549,Albert Ouvré,27 mai 1883
5550,"Albert, Omer, Clovis Mennecier",17 mai 1883
5551,Edouard Jonas,9 mai 1883
5552,Marcel Héraud,8 mai 1883
5553,Henri Rochereau,29 avril 1883
5554,"Edouard, Amédée Bovier-Lapierre",28 avril 1883
5555,Jacques Bozzi,24 avril 1883
5556,"Marcel, Léon Vardelle",16 avril 1883
5557,Michel Geistdoerfer,14 avril 1883
5558,Emile Dutilleul,14 avril 1883
5559,"Roger, Marie, Joseph Poitou-Duplessy",8 avril 1883
5560,"Théophile, Victor, Marie Romastin",25 mars 1883
5561,Georges Maurisson,22 mars 1883
5562,"Jean, Baptiste, Charles, René, Marie, Joseph Le Cour Grandmaison",15 mars 1883
5563,"Jean, Maurice Adam",6 mars 1883
5564,René Adam,20 février 1883
5565,Gaston Gourdeau,19 février 1883
5566,Gaston Bazile,16 février 1883
5567,"François, Armand, Delphin, Jules de Tessan",16 février 1883
5568,Robert Thoumyre,16 février 1883
5569,"François, Joseph Archer",15 février 1883
